Month (start date),Page views,Visits
01.03.2014,165655,46320
01.04.2014,176107,39937
01.05.2014,185161,42306
01.06.2014,161046,32935
01.07.2014,205976,36275
01.08.2014,205761,33384
01.09.2014,186364,34868
01.10.2014,183617,35376
01.11.2014,129737,33654
01.12.2014,108678,28954
01.01.2015,211698,84722
01.02.2015,167511,61557
01.03.2015,173116,62573
01.04.2015,163070,51116
01.05.2015,213605,51284
01.06.2015,171252,38451
01.07.2015,148096,35020
01.08.2015,119357,30092
01.09.2015,135517,35421
01.10.2015,132736,37811
01.11.2015,128330,33105
01.12.2015,109856,27991
01.01.2016,129385,30907